ts,bot_variant,exchange,trading_pair,side,price,amount_base,notional_quote,fee_quote,order_id,state,mid_ref,expected_spread_pct,adverse_drift_30s,fee_source,is_maker,realized_pnl_quote
2026-02-23T18:49:28.949061+00:00,a,bitget_paper_trade,BTC-USDT,buy,64831.0500000000,0.0001218,7.89642189000000000,0.007896421890000000000,paper-B-71af306c17fb,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,0
2026-02-23T18:49:29.183226+00:00,a,bitget_paper_trade,BTC-USDT,buy,64831.0500000000,0.0001218,7.89642189000000000,0.007896421890000000000,paper-B-40b241e78ab2,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,0
2026-02-23T18:49:29.531553+00:00,a,bitget_paper_trade,BTC-USDT,buy,64831.0500000000,0.0001218,7.89642189000000000,0.007896421890000000000,paper-B-04d9e452c6f9,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,0
2026-02-23T18:49:29.834170+00:00,a,bitget_paper_trade,BTC-USDT,buy,64831.0500000000,0.0001218,7.89642189000000000,0.007896421890000000000,paper-B-7fe0a7e7b7c6,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,0
2026-02-23T18:49:30.138290+00:00,a,bitget_paper_trade,BTC-USDT,sell,64831.0400000000,0.0001212,7.85752204800000000,0.007857522048000000000,paper-S-8bdab4aac642,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,-0.007858734048000000000
2026-02-23T18:49:30.449327+00:00,a,bitget_paper_trade,BTC-USDT,sell,64831.0400000000,0.0001212,7.85752204800000000,0.007857522048000000000,paper-S-b5588de39945,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,-0.007858734048000000000
2026-02-23T18:49:30.686142+00:00,a,bitget_paper_trade,BTC-USDT,sell,64831.0400000000,0.0001211,7.85103894400000000,0.007851038944000000000,paper-S-bacc1cd6f289,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,-0.007852249944000000000
2026-02-23T18:49:30.918784+00:00,a,bitget_paper_trade,BTC-USDT,sell,64831.0400000000,0.0001211,7.85103894400000000,0.007851038944000000000,paper-S-5265680dbe2a,running,64831.0450000000,0.0025,0,project:/home/hummingbot/project_config/fee_profiles.json,False,-0.007852249944000000000
2026-02-23T18:50:01.236509+00:00,a,bitget_paper_trade,BTC-USDT,buy,64836.7200000000,0.0001218,7.89711249600000000,0.007897112496000000000,paper-B-683ef1a43895,running,64836.7150000000,0.002507978337265823924173899977,0.00008745809974218370226794894329,project:/home/hummingbot/project_config/fee_profiles.json,False,0
2026-02-23T18:50:01.402130+00:00,a,bitget_paper_trade,BTC-USDT,buy,64836.7200000000,0.0001218,7.89711249600000000,0.007897112496000000000,paper-B-2164bd71e193,running,64836.7150000000,0.002507978337265823924173899977,0.00008745809974218370226794894329,project:/home/hummingbot/project_config/fee_profiles.json,False,0
